artnr;artnm;Leverancier;Artikelnr leverancier;Werkdruk (bar);2delig_1 - Huls;2delig_1 - Pilaar;2delig_1 - Persmaat (mm);2delig_1 - Schilmaat intern (mm);2delig_1 - Schilmaat extern (mm);2delig_2 - Huls;2delig_2 - Pilaar;2delig_2 - Persmaat (mm);2delig_2 - Schilmaat intern (mm);2delig_2 - Schilmaat extern (mm);1delig_1;1delig_1 - Persmaat (mm);1delig_1 - Insteekdiepte (mm);1delig_1 - Schilmaat intern (mm);1delig_1 - Schilmaat extern (mm);1delig_2;1delig_2 - Persmaat (mm);1delig_2 - Insteekdiepte (mm);1delig_2 - Schilmaat intern (mm);1delig_2 - Schilmaat extern (mm);1delig_3;1delig_3 - Persmaat (mm);1delig_3 - Insteekdiepte (mm);1delig_3 - Schilmaat intern (mm);1delig_3 - Schilmaat extern (mm)
0328-08;THERMOPLASTIC HIGH PRESSURE (1/2) DN12 W.P. 245 BAR;Hansaflex;NY813;245;17001-08;10;;;;17003-08;10;23,5;;;;;;;;;;;;;;;;;
0328-08D;THERMOPLASTIC HIGH PRESSURE (1/2) DN12 W.P. 245 BAR TWIN;Hansaflex;NYZ 813;245;17001-08;10;;;;;;;;;;;;;;;;;;;;;;;
0328-12;THERMOPLASTIC HIGH PRESSURE (3/4) DN19;Schmitter;626320;;;;;;;;;;;;;;;;;;;;;;;;;;
0331-03;THERMOPLASTIC HIGH PRESSURE (3/16) DN05 W.P. 360 BAR;Hansaflex;NY104;360;17002-03;10;13,5;;;;;;;;;;;;;;;;;;;;;;
0331-03CO2;THERMOPLASTIC HIGH PRESSURE (3/16) DN05 W.P. 360 BAR;Calseyde;0501-SB1-CO2-DN05;360;17002-03;10;13,5;;;;;;;;;;;;;;;;;;;;;;
0331-03D;THERMOPLASTIC HIGH PRESSURE (3/16) DN05 W.P. 360 BAR TWIN;Hansaflex;NYZ 104;360;17002-03;10;13,5;;;;;;;;;;;;;;;;;;;;;;
0331-04;THERMOPLASTIC HIGH PRESSURE (1/4) DN06 W.P. 310 BAR;Hansaflex;NY106;310;17002-04;10;15,4;;;;;;;;;;;;;;;;;;;;;;
0331-04CO2;THERMOPLASTIC HIGH PRESSURE (1/4) DN06 W.P. 310 BAR;Calseyde;0502-SB1-C02-DN06;310;17002-04;10;15,4;;;;;;;;;;;;;;;;;;;;;;
0331-04D;THERMOPLASTIC HIGH PRESSURE (1/4) DN06 W.P. 310 BAR TWIN;Hansaflex;NYZ106;310;17002-04;10;15,4;;;;;;;;;;;;;;;;;;;;;;
0331-05;THERMOPLASTIC HIGH PRESSURE (5/16) DN08 W.P. 250 BAR;Hansaflex;NY 108;250;17002-05;10;18,1;;;;;;;;;;;;;;;;;;;;;;
